postsNum,followersNum,followingNum,hasLocation,AtUserNum,AtUserPostsNum,AtUserFollowerNum,AtUserFollowingNum,hashTagNum,hashTagPostsNum,likeNum
7049,473000,5617,0,22,5911,10320,10289,6,0,5751
7049,473000,5617,0,5,322,518,1100,29,0,2892
7049,473000,5617,0,20,10281,10347,13446,5,0,34621
7049,473000,5617,0,5,3297,3010,6020,26,0,2087
7049,473000,5617,0,5,2572,2744,3479,6,0,2220
7049,473000,5617,0,14,7428,7292,5491,0,0,4222
7049,473000,5617,0,7,2759,16897,5660,1,0,4244
7049,473000,5617,0,6,17105,99774,16596,1,0,4537
7049,473000,5617,0,12,10672,3603123,8296,2,0,20764
7049,473000,5617,0,20,10128,15486,11819,0,0,4693
7049,473000,5617,0,2,85,660,958,12,0,888
7049,473000,5617,0,7,1319,8373,7241,2,0,18878
3114,80800,1994,0,3,3202,81564,2082,0,0,1968
3114,80800,1994,1,9,24565,2283360,7383,3,0,5790
3114,80800,1994,0,4,9106,163837,4549,1,0,11559
3114,80800,1994,0,8,8849,5013149,3110,2,0,8132
3114,80800,1994,0,8,10361,998631,5819,3,0,15304
3114,80800,1994,0,3,1835,629,973,3,0,12996
3114,80800,1994,0,4,4995,915787,2197,3,0,5720
3114,80800,1994,0,3,7744,915908,2196,2,0,11351
3114,80800,1994,1,2,728,24552,501,4,0,9040
3114,80800,1994,1,11,6004,917747,2603,4,0,6116
3114,80800,1994,1,7,14449,1208824,4280,5,0,18681
3114,80800,1994,1,4,13152,1150948,3410,4,0,4545
4169,168000,131,0,1,3509,4900000,178,1,0,6430
4169,168000,131,0,4,3305,1992,1665,2,0,8793
4169,168000,131,0,8,8127,174460,2270,4,0,6671
4169,168000,131,0,6,3072,10402676,1124,6,0,8844
4169,168000,131,0,4,4650,10722302,1289,5,0,2597
4169,168000,131,0,12,23128,1365182,18315,7,0,1565
4169,168000,131,0,11,22424,1364927,17869,7,0,2824
4169,168000,131,0,11,22424,1364927,17869,7,0,1274
4169,168000,131,0,10,4421,99739,8895,5,0,2120
4169,168000,131,1,2,782,42602,1182,1,0,935
154,108000000,0,0,2,10853,4317300,1451,0,0,141112
154,108000000,0,0,3,10629,5927600,1753,0,0,360308
154,108000000,0,0,2,10076,12791000,1161,0,0,726084
154,108000000,0,0,1,6416,291000,913,0,0,1167441
154,108000000,0,0,0,0,0,0,0,0,1096278
154,108000000,0,0,2,6888,327400,1561,1,0,859971
154,108000000,0,0,3,8055,8527399,1932,0,0,1534333
154,108000000,0,0,3,8320,137327400,1597,0,0,2250859
154,108000000,0,0,3,9864,31527600,1897,0,0,3553614
1822,371000,48,0,5,1428,6086,3181,1,0,64517
1822,371000,48,0,3,195,478,812,1,0,59616
1822,371000,48,0,7,1845,2264,5969,1,0,57978
1822,371000,48,1,8,14243,5465366,5426,1,0,19488
1822,371000,48,0,17,14868,10486025,3748,0,0,5767
1822,371000,48,1,16,21679,48138818,6148,0,0,3882
1822,371000,48,1,4,1303,516,3396,1,0,4127
1822,371000,48,1,12,4116,373021,2704,1,0,6616
1822,371000,48,1,5,1242,1320,1704,1,0,3970
1822,371000,48,1,2,396,758,872,1,0,4188
1363,4900000,81,1,12,15226,20202720,5890,1,0,529644
1363,4900000,81,0,8,5113,9035922,4807,1,0,1134984
1363,4900000,81,1,6,2721,735569,4011,1,0,914420
1363,4900000,81,1,10,3452,1467206,4286,1,0,670946
1363,4900000,81,1,1,1363,4900000,81,1,0,637643
1363,4900000,81,1,14,6893,3256,5387,1,0,656189
1363,4900000,81,1,6,5665,371999,2751,1,0,685568
1363,4900000,81,1,10,4955,7101920,3346,1,0,482030
1363,4900000,81,1,4,1835,4900542,3195,1,0,611404
1363,4900000,81,1,7,621,2911,3298,1,0,678960
1363,4900000,81,1,3,1525,969,2157,0,0,993576
6416,291000,913,1,5,736,1691,2484,2,0,1704
6416,291000,913,1,6,5421,38527,3362,2,0,2189
6416,291000,913,1,2,585,17325,1149,1,0,1543
6416,291000,913,1,3,1543,788,2018,2,0,1884
6416,291000,913,1,4,1886,31202793,4815,2,0,3092
6416,291000,913,1,4,2337,43500,2209,1,0,2352
6416,291000,913,1,2,5169,9436600,748,2,0,1049
6416,291000,913,1,4,5691,75102961,3219,1,0,2904
6416,291000,913,1,11,6441,181536,8367,1,0,4339
6416,291000,913,1,2,585,17325,1149,1,0,1764
6416,291000,913,0,14,11281,975641,7652,1,0,7971
962,1900000,326,1,13,6364,3802519,6316,0,0,55877
962,1900000,326,1,12,4782,273948,4611,0,0,9303
962,1900000,326,1,9,4678,2041644,6013,0,0,7612
962,1900000,326,0,4,487,3234,2780,0,0,164123
962,1900000,326,0,11,3338,1902208,6423,1,0,162043
962,1900000,326,1,6,2875,21006261,2018,0,0,48156
962,1900000,326,0,8,1706,2906,2498,0,0,72595
962,1900000,326,0,8,1708,4471,3451,0,0,49386
962,1900000,326,1,3,681,776,1874,0,0,125417
962,1900000,326,1,13,14360,8548,3974,0,0,18199
962,1900000,326,1,17,6476,4978187,12300,0,0,18583
8552,209000,86,0,1,749,760,999,5,0,5499
8552,209000,86,0,6,1141,3491,3669,8,0,9463
8552,209000,86,0,7,799,812,2840,10,0,25164
8552,209000,86,0,11,4589,6924,5617,5,0,4979
8552,209000,86,0,7,1974,3308,5558,4,0,9982
8552,209000,86,0,9,6145,655776,3122,8,0,45716
8552,209000,86,0,0,0,0,0,4,0,8403
8552,209000,86,0,3,456,909,1275,6,0,13582
8552,209000,86,0,3,727,1301,1498,4,0,9841
8552,209000,86,0,5,469,1994,2219,8,0,11557
8552,209000,86,0,1,211,358,456,4,0,8526
8552,209000,86,0,3,315,761,2179,4,0,10701
6241,53200000,318,0,14,4735,119952,5254,0,0,260974
6241,53200000,318,0,12,4907,437098,7396,0,0,221791
6241,53200000,318,0,4,547,2836,1809,1,0,3097942
3256,126000,316,1,14,30742,13817353,8519,1,0,19663
3256,126000,316,0,13,26209,3333724,5298,2,0,3383
3256,126000,316,0,2,6023,246000,1066,0,0,4004
3256,126000,316,0,11,23236,970849,6072,1,0,2130
3256,126000,316,0,3,632,1815,1413,0,0,5498
3256,126000,316,0,1,2767,120000,750,0,0,2961
3256,126000,316,1,5,15549,932877,4590,0,0,4207
3256,126000,316,0,8,6944,4406883,4421,0,0,2784
3256,126000,316,0,2,6023,246000,1066,1,0,8788
3256,126000,316,1,2,1131,190191,1257,0,0,3473
3256,126000,316,1,7,8767,848082,18523,1,0,1657
3256,126000,316,1,11,18596,738799,4468,0,0,1884
75,156000,25,0,7,1380,4048,3897,0,0,310
75,156000,25,0,4,2457,1706,2737,2,0,2159
75,156000,25,0,0,0,0,0,0,0,6402
75,156000,25,0,1,124,103,331,2,0,5319
75,156000,25,0,12,2841,3261,3580,1,0,3063
75,156000,25,0,25,10973,20424,13591,1,0,3701
75,156000,25,0,13,5699,4904217,5100,0,0,5518
75,156000,25,0,19,6098,11559,12519,3,0,17882
75,156000,25,0,7,4661,6002055,2198,2,0,6744
75,156000,25,0,13,3094,13246,8046,1,0,10728
75,156000,25,0,7,5424,24601530,2946,2,0,2815
75,156000,25,0,7,3369,1975,2745,3,0,2902
1787,188000,1178,0,2,3006,302000,1277,1,0,7349
1787,188000,1178,0,6,16689,10434494,5984,6,0,24793
1787,188000,1178,0,7,16680,1056757,7445,1,0,10577
1787,188000,1178,0,6,7063,1018157,7273,3,0,1501
1787,188000,1178,0,9,21277,88088311,6241,8,0,3584
1787,188000,1178,0,3,5361,564000,3534,0,0,5419
1787,188000,1178,0,7,4178,214696,13111,2,0,26419
1787,188000,1178,0,8,19980,1327131,10922,4,0,449
1787,188000,1178,0,4,5928,196609,3646,1,0,5132
1787,188000,1178,0,6,10388,3466431,5122,2,0,5428
1787,188000,1178,0,3,2875,192136,1462,10,0,949
170,104000,98,1,4,669,154836,2186,6,0,30465
170,104000,98,1,3,7352,106433,4296,1,0,32634
170,104000,98,1,5,9219,667038,3940,2,0,25422
170,104000,98,1,7,3313,210641,4163,1,0,23083
170,104000,98,0,6,3829,5026,5243,0,0,15257
170,104000,98,1,10,7784,475778,5751,4,0,4217
170,104000,98,0,11,5089,162878,5155,1,0,3319
170,104000,98,0,9,2565,108341,4410,1,0,1387
170,104000,98,1,11,2110,5008176,4795,1,0,5804
397,7639,415,1,4,890,18612,1101,5,0,967
397,7639,415,1,5,1018,19487,2490,6,0,655
397,7639,415,1,4,1211,25907,1984,7,0,1597
397,7639,415,1,7,1261,20494,3487,7,0,814
397,7639,415,1,5,384,4315,2170,4,0,340
397,7639,415,1,5,1018,19487,2490,5,0,242
397,7639,415,0,8,1507,27283,3177,6,0,765
397,7639,415,1,6,1032,19769,2999,6,0,1317
397,7639,415,1,5,1017,19487,2490,6,0,791
397,7639,415,1,6,1745,25103,3853,5,0,716
397,7639,415,0,1,397,7639,415,4,0,267
397,7639,415,1,0,0,0,0,5,0,274
166,1736,3164,0,0,0,0,0,32,0,108
166,1736,3164,0,1,650,219,500,28,0,130
166,1736,3164,0,0,0,0,0,27,0,104
166,1736,3164,0,0,0,0,0,27,0,176
166,1736,3164,0,0,0,0,0,25,0,144
166,1736,3164,0,0,0,0,0,29,0,165
166,1736,3164,0,0,0,0,0,28,0,125
166,1736,3164,0,0,0,0,0,27,0,154
166,1736,3164,0,0,0,0,0,25,0,125
166,1736,3164,0,2,2685,99388,2212,23,0,142
166,1736,3164,0,0,0,0,0,27,0,139
166,1736,3164,0,0,0,0,0,25,0,169
927,5851,564,1,2,4436,4905851,742,7,0,146
927,5851,564,1,2,3187,10402385,979,5,0,274
927,5851,564,1,7,2911,585299,2615,1,0,27
927,5851,564,1,3,3023,39251,1622,7,0,69
927,5851,564,1,0,0,0,0,5,0,42
927,5851,564,1,0,0,0,0,8,0,155
927,5851,564,1,2,1723,90400,6149,4,0,61
927,5851,564,1,1,367,7647,593,4,0,59
927,5851,564,1,3,6690,75176,2170,6,0,72
927,5851,564,1,2,5216,6809,1091,9,0,70
927,5851,564,1,5,2381,28343,3407,0,0,171
927,5851,564,1,4,1554,29055,1342,5,0,78
10211,317000,688,0,2,2126,72800000,420,2,0,231
10211,317000,688,0,1,2343,10800000,739,1,0,675
10211,317000,688,0,0,0,0,0,1,0,636
10211,317000,688,0,1,8,88,239,1,0,380
10211,317000,688,0,0,0,0,0,0,0,412
10211,317000,688,0,2,4638,25399999,1281,0,0,429
10211,317000,688,0,6,2121,1626032,3121,0,0,1226
10211,317000,688,0,5,6664,5532,19971,0,0,631
10211,317000,688,0,10,5654,920588,2683,1,0,4262
883,188000,2868,0,20,10664,1203375,11275,6,0,5242
883,188000,2868,0,13,13547,519858,14255,6,0,4817
883,188000,2868,0,11,9054,378648,6298,6,0,6480
883,188000,2868,0,10,13164,235367618,9486,7,0,3710
883,188000,2868,0,12,11984,807592,17576,6,0,4051
883,188000,2868,0,13,5115,482993,16868,6,0,5541
883,188000,2868,0,16,15872,394935,15561,5,0,2373
883,188000,2868,0,17,26857,240650902,11359,5,0,6359
883,188000,2868,0,21,12276,1343709,21577,5,0,5604
883,188000,2868,0,11,8006,3140275,8928,5,0,5632
883,188000,2868,0,10,4715,391100,9438,3,0,6098
883,188000,2868,0,14,1407,10200,1029,7,0,7955
8211,2000000,1008,0,11,15362,358602263,4674,3,0,6692
8211,2000000,1008,0,22,7957,35694,12725,0,0,6324
8211,2000000,1008,0,5,1937,1202632,3458,0,0,2336
8211,2000000,1008,0,13,6632,18424,13740,0,0,7151
8211,2000000,1008,0,24,8826,495420,16294,1,0,23134
8211,2000000,1008,1,5,17795,4002077,3538,0,0,2679
8211,2000000,1008,0,30,15509,40643,14055,2,0,6795
8211,2000000,1008,0,8,5198,26684,3225,2,0,100178
8211,2000000,1008,0,10,9374,4908984,4250,1,0,258277
8211,2000000,1008,0,17,9112,547597,15617,2,0,119639
8211,2000000,1008,0,6,9006,21056,12364,1,0,54985
8211,2000000,1008,0,10,4603,7499,4086,1,0,71415
8211,2000000,1008,0,9,685,7451,3664,1,0,41893
8211,2000000,1008,0,16,8993,22359,9759,1,0,207674
8211,2000000,1008,0,6,5650,27164,4085,1,0,29244
8211,2000000,1008,0,8,10333,10750022,4252,1,0,35956
8211,2000000,1008,0,26,11359,1112338,13942,2,0,133530
8211,2000000,1008,0,11,5309,8536274,4064,1,0,26202
3285,17200000,880,0,17,28791,104727918,18482,1,0,686515
3285,17200000,880,0,9,6070,17204771,8484,0,0,3403873
3285,17200000,880,0,13,20394,52710657,9086,0,0,941202
3285,17200000,880,0,6,5172,17239582,2891,2,0,1062971
3285,17200000,880,0,11,11731,34982455,9614,0,0,589555
3285,17200000,880,0,23,44185,172643845,20021,0,0,623770
3285,17200000,880,0,6,3204,24078,3339,0,0,1304981
3285,17200000,880,0,8,4661,309492,5857,1,0,440717
3285,17200000,880,0,6,9199,34694786,7062,0,0,521631
3285,17200000,880,0,13,2643,11974,7356,11,0,934602
3285,17200000,880,0,13,10228,34404305,6673,1,0,930707
3285,17200000,880,0,16,12410,17214036,11659,0,0,1018801
3285,17200000,880,0,11,11220,121889130,3799,0,0,302400
3285,17200000,880,0,10,12169,35415460,10629,0,0,429360
3285,17200000,880,0,14,21992,27086071,9453,0,0,660516
3285,17200000,880,0,7,3755,77217,4896,0,0,296759
3285,17200000,880,0,10,14053,60224554,6190,0,0,931015
3285,17200000,880,0,21,15621,1686873,12351,0,0,821674
3285,17200000,880,0,23,14032,13949,20360,0,0,891629
3285,17200000,880,0,15,18419,19848135,9696,0,0,738757
3285,17200000,880,0,7,6592,25565137,4386,0,0,484934
5240,800000,772,1,11,24233,105908194,6956,7,0,18696
5240,800000,772,1,9,14469,23319741,4997,6,0,12842
5240,800000,772,1,9,13195,1032523,7930,3,0,1472
5240,800000,772,1,10,17062,33606020,8166,3,0,81372
5240,800000,772,1,16,20692,1771423,11480,0,0,5699
5240,800000,772,1,16,16351,42402419,10594,0,0,38315
5240,800000,772,1,3,2137,78676,1661,0,0,13721
5240,800000,772,1,4,17533,2478400,3584,0,0,16844
5240,800000,772,1,2,7053,878400,2040,0,0,9381
5240,800000,772,1,7,14661,1750077,4746,0,0,19447
5240,800000,772,1,13,9572,560871,12577,1,0,21595
5240,800000,772,1,1,5240,800000,772,1,0,25449
5240,800000,772,1,12,13523,1609685,8679,0,0,16993
5240,800000,772,1,9,8154,968167,6790,0,0,15460
5240,800000,772,1,19,10091,6707097,9581,9,0,22915
8164,912000,327,0,19,9382,8744,12583,1,0,1633
8164,912000,327,0,3,1118,1939499,685,1,0,2098
8164,912000,327,0,3,8252,1927015,2078,1,0,2022
8164,912000,327,0,1,8164,912000,327,1,0,1901
8164,912000,327,0,24,6974,11364,13674,1,0,13112
8164,912000,327,0,16,12101,2007377,9550,1,0,6766
8164,912000,327,0,5,9244,913067,2890,1,0,2610
8164,912000,327,0,15,12483,920304,7300,1,0,10810
8164,912000,327,0,12,12506,1466982,5754,1,0,2798
8164,912000,327,0,5,9466,999942,1203,0,0,5039
8164,912000,327,0,18,25597,1943793,13058,1,0,6196
8164,912000,327,0,5,14316,2913517,3152,0,0,15179
8164,912000,327,0,6,11910,1349451,2324,1,0,10521
8164,912000,327,0,3,9258,5836600,1847,2,0,4200
8164,912000,327,0,13,26590,42903774,8615,2,0,5536
8164,912000,327,0,10,28649,4437213,3739,2,0,4094
8164,912000,327,0,5,4828,2939208,3474,1,0,7103
8164,912000,327,0,2,127,4485,921,2,0,3598
8164,912000,327,0,1,658,277000,69,1,0,2371
8164,912000,327,0,4,14251,4716000,1984,1,0,5518
619,6000000,370,0,7,10487,16466104,2132,1,0,511825
619,6000000,370,0,5,2494,24291000,1784,1,0,428182
619,6000000,370,0,22,23742,26566039,9504,2,0,419816
619,6000000,370,0,13,10763,42073990,6874,1,0,90539
619,6000000,370,0,8,29604,18052677,5746,2,0,197147
619,6000000,370,0,10,6135,32002721,3119,0,0,649278
619,6000000,370,0,10,3849,26294264,3934,0,0,256230
619,6000000,370,0,4,2496,12155765,1095,6,0,285840
619,6000000,370,0,13,4845,12010831,9491,4,0,346539
619,6000000,370,0,4,683,6175258,680,0,0,281926
619,6000000,370,0,12,929,6078430,3840,6,0,320122
619,6000000,370,0,15,8393,6130648,3467,2,0,122999
619,6000000,370,0,15,8521,12944078,8735,6,0,82173
619,6000000,370,0,7,3280,18016459,2847,8,0,143589
619,6000000,370,0,22,7261,13427858,13726,2,0,591100
619,6000000,370,0,11,7054,18182534,5089,4,0,264253
619,6000000,370,0,5,8897,6156900,2342,2,0,118261
619,6000000,370,0,18,11202,6489516,15514,0,0,339899
619,6000000,370,1,9,4091,18002475,6504,1,0,228928
619,6000000,370,1,4,186,295507,2699,1,0,229013
619,6000000,370,0,9,3445,18011443,3849,6,0,496624
619,6000000,370,0,8,4342,18009217,4276,1,0,59680
619,6000000,370,1,14,5587,12400532,5519,4,0,125436
619,6000000,370,0,10,3386,18005383,6024,4,0,578398
1835,230000,120,0,4,2227,1076,3013,1,0,5010
1835,230000,120,0,11,3812,11237,9634,1,0,6821
1835,230000,120,0,8,7035,5595,5690,1,0,8205
1835,230000,120,0,5,1916,2867,3487,0,0,8959
1835,230000,120,0,1,2107,11900000,761,0,0,1106
1835,230000,120,0,10,6636,46347,5797,1,0,17159
1835,230000,120,0,0,0,0,0,0,0,1308
1835,230000,120,0,7,1853,2408,2464,1,0,56430
1835,230000,120,0,0,0,0,0,0,0,1064
1835,230000,120,0,19,14247,10371,12885,0,0,11343
1835,230000,120,0,19,4895,6771,5564,1,0,29740
1835,230000,120,0,0,0,0,0,0,0,848
1835,230000,120,0,0,0,0,0,0,0,656
1835,230000,120,0,0,0,0,0,0,0,331
1835,230000,120,0,2,3778,2700092,2565,1,0,1166
1835,230000,120,0,1,248,453,440,1,0,1131
1835,230000,120,0,0,0,0,0,0,0,636
1835,230000,120,0,0,0,0,0,0,0,1192
1835,230000,120,0,1,1671,17600000,491,0,0,856
1835,230000,120,0,4,5539,9600667,1837,0,0,728
1835,230000,120,0,2,1516,656,1106,0,0,3981
1835,230000,120,0,0,0,0,0,2,0,3278
1835,230000,120,0,4,1598,1106,1897,0,0,3106
