user	postsNum	followersNum	followingNum	hasLocation	AtUserNum	AtUserPostsNum	AtUserFollowerNum	AtUserFollowingNum	hashTagNum	hashTagPostsNum	likeNum
chrisnumber8	706	45.1k	218	1	12	2,472;48;770;82;29;410;38;30;936;447;5,907;706;	79.3k;590;15.2k;62;192;10.1k;105;139;99;152k;75.8k;45.1k;	296;365;619;80;406;237;109;530;219;194;1,027;218;	25	22,049618,983936,629687,5951,307,5753,198,9731,383,933444,3781,272,4432,732,3899,690,547483,7451,477,046725,789504,9131,100,794379,8343,736,302141,174636,29723,6521,56228,7383,539,978214,556	997
chrisnumber8	706	45.1k	218	1	9	2,472;2,535;302;3,563;93;589;1,747;1,551;770;	79.3k;19.5k;13.8k;736k;217;14.3k;144k;89.4k;15.2k;	296;355;300;291;276;619;486;286;619;	5	819,893428,4184,043,49215,002	996
chrisnumber8	706	45.1k	218	1	11	2,847;1,551;1,439;953;770;1,747;1,116;2,472;407;412;354;	215k;89.4k;17.8k;121k;15.2k;144k;30.5k;79.3k;84.1k;13.3k;19.5k;	433;286;474;504;619;486;819;296;374;114;229;	15	2,138,3259,315,02172,782283,072735,812309,675136,502363,170345,868218,080549,317416,747297,320214,556165,541	1,026
chrisnumber8	706	45.1k	218	1	9	412;1,016;589;407;2,668;77;447;196;354;	13.3k;6,532;14.3k;84.1k;5,857;73;152k;7,135;19.5k;	114;419;619;374;199;169;194;429;229;	23	22,049618,983936,635687,6011,307,5873,198,9871,383,941444,3801,272,4482,732,3939,690,558483,7471,477,051725,790504,9191,100,800379,8373,736,312141,176636,30123,6551,56228,739	956
chrisnumber8	706	45.1k	218	1	5	2,535;196;63;1,551;537;	19.5k;7,135;51.1k;89.4k;1,750;	355;429;362;286;198;	20	22,049618,983936,642687,6041,307,5893,198,9921,383,946444,3811,272,4512,732,3949,690,561483,7511,477,053725,790504,9201,100,806379,840	1,817
chrisnumber8	706	45.1k	218	1	9	589;1,747;22;1,052;42;1,691;717;145;460;	14.3k;144k;75;323;44;23.3k;170;13.1k;7,515;	619;486;128;268;59;505;542;191;411;	25	244,935478,387840,13366,5614,009,341636,3031,050,5411,124,7711,707,764	873
chrisnumber8	706	45.1k	218	1	10	2,472;354;1,551;3,187;24;790;205;196;1,746;761;	79.3k;19.5k;89.4k;677;65.6k;64;471;7,135;144k;35.9k;	296;229;286;499;376;140;285;429;486;401;	26	819,907428,4224,043,52115,00222,049618,985936,648687,6111,307,5923,199,0001,383,952444,3871,272,4532,732,3999,690,570483,7551,477,062725,791504,9281,100,816379,8443,736,3183,539,985636,304214,556	1,334
chrisnumber8	706	45.1k	218	1	1	1,297;	67.1k;	257;	22	22,049618,985936,652687,613504,9301,100,819379,8443,736,3243,539,989636,303214,556	1,456
chrisnumber8	706	45.1k	218	1	11	78;78;78;78;78;78;78;78;1,016;2,472;145;	204k;204k;204k;204k;204k;204k;204k;204k;6,532;79.3k;13.1k;	717;717;717;717;717;717;717;717;419;296;191;	19	169,274527,994592,315936,90256,9931,102,987266,030283,2662,679,187636,860954,8811,327,891341,0222,160,826802,959	1,001
chrisnumber8	706	45.1k	218	1	6	302;407;1,109;1,016;318;649;	13.8k;84.1k;33.4k;6,532;8,115;48.6k;	300;374;696;419;1,026;332;	29	1,103,223819,911428,4244,043,53415,00223,119189,1481,188,2113,619,2763,595,5521,635,231425,6772,138,3369,315,08172,782283,072	1,559
chrisnumber8	706	45.1k	218	1	12	38;2,535;410;1,016;589;1,743;196;1,052;447;42;1,746;2,187;	105;19.5k;10.1k;6,532;14.3k;32.1k;7,134;323;152k;351;144k;40.6k;	109;355;237;419;619;500;429;268;194;590;486;240;	29	1,103,223819,913428,4264,043,53815,00223,11922,049618,986936,658687,6181,307,6063,199,0181,383,957444,3941,272,474409,0302,732,4029,690,584483,7621,477,065	951
chrisnumber8	706	45.1k	218	1	8	410;407;589;447;26;2,472;388;953;	10.1k;84.1k;14.3k;152k;227;79.3k;845;121k;	237;374;619;194;543;296;294;504;	28	1,103,226819,914428,4284,043,54215,00223,11922,049618,986936,664687,6231,307,6103,199,0221,383,957444,3951,272,479409,031	1,408
chrisnumber8	706	45.1k	218	1	9	410;2,535;649;748;2,847;1,747;589;3,563;542;	10.1k;19.5k;48.6k;6,994;215k;144k;14.3k;736k;39.9k;	237;355;332;377;433;486;619;291;233;	23	1,103,23022,049618,986936,666687,6261,307,6153,199,0281,383,956444,3961,272,478409,0322,732,4039,690,597483,7671,477,071725,794504,9341,100,831379,8493,736,3663,539,999636,302	997
chrisnumber8	706	45.1k	218	1	5	196;302;407;460;6,079;	7,134;13.8k;84.1k;7,514;1,043;	429;300;374;411;815;	23	1,103,23022,051618,986936,670687,6261,307,6183,199,0311,383,955444,3961,272,477409,0322,732,4049,690,600483,7691,477,075725,794504,9371,100,836	1,585
chrisnumber8	706	45.1k	218	1	9	953;542;1,691;410;589;38;407;1,016;354;	121k;39.9k;23.3k;10.1k;14.3k;105;84.1k;6,532;19.5k;	504;233;505;237;619;109;374;419;229;	22	725,794504,9381,100,838379,8533,736,3713,540,001636,298	1,710
chrisnumber8	706	45.1k	218	1	1	62;	14.6k;	5,826;	28	1,103,234819,919428,4284,043,54415,00223,11922,051618,987936,674687,6311,307,6253,199,0411,383,957725,794504,9381,100,840379,8533,736,3753,540,003636,298	1,463
chrisnumber8	706	45.1k	218	1	6	302;196;936;515;460;0;	13.8k;7,134;99;157k;7,514;6;	300;429;219;284;411;92;	25	1,103,237189,148282,107331,188,2193,619,3161,963,8689,507,0173,595,5871,963,8681,635,235	1,788
chrisnumber8	706	45.1k	218	1	12	302;24;407;953;589;1,551;1,052;542;599;2,628;706;1,016;	13.8k;65.6k;84.1k;121k;14.3k;89.4k;323;39.9k;86.2k;3,883;45.1k;6,532;	300;376;374;504;619;286;268;233;334;1,377;218;419;	27	6,80142,526913,538236,6512,916,8651,638,194641,909693,477310,1151,844,69791,414552,304641,498244,941478,387296,3171,365,276840,13766,5614,009,423636,299181,578	2,431
chrisnumber8	706	45.1k	218	1	5	232;74;174;407;706;	4,689;2,949;98.8k;84.1k;45.1k;	182;1,263;5,045;374;218;	23	21,062406,14822,051618,987936,692687,6381,307,6383,199,0541,383,966444,4081,272,480409,0342,732,4109,690,614483,7801,477,091725,796504,948	639
chrisnumber8	706	45.1k	218	1	8	481;63;819;407;912;542;354;196;	4,414;51.1k;7,783;84.1k;49.5k;39.9k;19.5k;7,134;	506;362;1,859;374;228;233;229;429;	28	21,062406,14842,526913,540236,6512,916,8771,638,195641,912693,4761,844,69991,414552,306641,502244,941296,3171,365,282840,14466,5614,009,442636,300181,57823,121	892
chrisnumber8	706	45.1k	218	1	10	337;748;1,016;196;460;407;221;24;981;706;	450;6,994;6,532;7,134;7,514;84.1k;13.2k;65.6k;1,929;45.1k;	330;377;419;429;411;374;670;376;236;218;	30	21,062406,14742,526913,538236,6512,916,8811,638,195641,915693,476310,1171,844,70391,4141,703,104552,3061,124,782256,887641,506244,943	515
chrisnumber8	706	45.1k	218	1	12	589;453;388;1,551;196;57;407;649;53;354;1,692;649;	14.3k;6,780;3,908;89.4k;7,134;137;84.1k;48.6k;4,431;19.5k;23.3k;48.6k;	619;291;985;286;429;225;374;332;446;229;505;332;	28	42,527913,540236,6512,916,8831,638,194641,916693,476310,1171,844,70691,414552,307641,509244,944478,387296,3171,365,289840,14866,5634,009,452636,303181,58123,121	927
chrisnumber8	706	45.1k	218	1	6	2,188;1,439;211;1,285;174;4,150;	48.2k;17.8k;9,657;613;11.7k;793k;	465;474;900;827;1,539;997;	29	71,31721,062406,14742,527913,541236,6512,916,8881,638,194641,919693,479310,1171,844,71491,414552,307641,510244,944478,387296,3171,050,5941,124,7874,041,2731,707,802	844
chrisnumber8	706	45.1k	218	1	15	145;354;683;1,747;1,016;2,472;435;1,551;196;1,687;440;145;354;649;1,183;	13.1k;19.5k;4,270;144k;6,532;79.3k;2,406;89.4k;7,134;2,035;2,233;13.1k;19.5k;48.6k;32.7k;	191;229;435;486;419;296;349;286;429;682;894;191;229;332;264;	28	42,527913,541236,6512,916,8911,638,197641,921693,479310,1171,844,71491,415552,307641,511244,944478,387827,001296,317280,8351,365,29023,1201,050,5951,124,7874,041,2791,707,807	1,128
chrisnumber8	706	45.1k	218	1	10	1,914;1,652;675;730;1,016;83;589;38;354;1,551;	8,338;4,872;22.8k;158;6,532;289k;14.3k;105;19.5k;89.4k;	2,443;358;198;376;419;129;619;109;229;286;	29	21,062406,14742,527913,542236,6512,916,8951,638,200641,921693,481310,1191,844,71691,415552,311256,887641,512244,943478,387827,000296,3171,365,298840,15466,5624,009,478636,308181,58123,1211,050,5961,124,7894,041,283	629
chrisnumber8	706	45.1k	218	1	14	1,815;407;981;302;819;272;2,847;542;1,747;953;1,416;589;1,016;196;	200k;84.1k;1,929;13.8k;7,783;3,560;215k;39.9k;144k;121k;19.4k;14.3k;6,532;7,134;	233;374;236;300;1,859;294;433;233;486;504;743;619;419;429;	28	80,130,65621,062406,14842,527913,544236,6522,916,9021,638,200641,926693,481310,1191,844,71891,415552,312256,886641,513244,945478,387296,317280,8351,365,302840,15966,5624,009,487	569
chrisnumber8	706	45.1k	218	1	9	589;1,551;41;748;1,747;2,472;196;542;1,692;	14.3k;89.4k;1,673;6,994;144k;79.3k;7,134;39.9k;23.3k;	619;286;7,376;377;486;296;429;233;505;	13	21,062406,148189,151282,110331,188,2293,619,4081,963,8879,507,0983,595,6251,963,8891,635,249425,683	723
axelmorin_	897	10.4k	1,631	0	3	377;369;897;	1,757;2,811;10.4k;	1,329;538;1,631;	2	9873,581,502	528
axelmorin_	897	10.4k	1,631	0	2	377;369;	1,757;2,811;	1,329;538;	2	9873,581,502	529
axelmorin_	897	10.4k	1,631	0	2	377;369;	1,757;2,811;	1,329;538;	2	9873,581,503	412
axelmorin_	897	10.4k	1,631	0	4	377;369;285;27;	1,757;2,811;4,732;75;	1,329;538;4,713;106;	2	9873,581,505	585
axelmorin_	897	10.4k	1,631	0	2	377;369;	1,757;2,811;	1,329;538;	2	9873,581,504	785
axelmorin_	897	10.4k	1,631	0	2	377;369;	1,757;2,811;	1,329;538;	2	9873,581,507	571
axelmorin_	897	10.4k	1,631	0	2	377;369;	1,757;2,811;	1,329;538;	2	9873,581,505	459
axelmorin_	897	10.4k	1,631	0	0				0		517
axelmorin_	897	10.4k	1,631	0	0				1	987	424
axelmorin_	897	10.4k	1,631	0	0				1	987	586
axelmorin_	897	10.4k	1,631	0	2	1,172;925;	511k;77.5m;	1,409;137;	1	987	458
axelmorin_	897	10.4k	1,631	0	3	91;897;267;	732;10.4k;104k;	344;1,631;83;	1	987	370
axelmorin_	897	10.4k	1,631	0	0				1	987	583
axelmorin_	897	10.4k	1,631	0	0				1	987	335
axelmorin_	897	10.4k	1,631	0	0				1	987	823
axelmorin_	897	10.4k	1,631	0	1	320;	599;	559;	1	987	252
axelmorin_	897	10.4k	1,631	0	0				1	987	299
axelmorin_	897	10.4k	1,631	0	1	9;	1,399;	169;	1	987	255
axelmorin_	897	10.4k	1,631	0	0				1	987	266
axelmorin_	897	10.4k	1,631	0	3	370;266;263;	620;466;634;	1,176;455;1,022;	1	987	798
axelmorin_	897	10.4k	1,631	0	0				1	987	608
axelmorin_	897	10.4k	1,631	0	11	82;45;139;377;299;201;2;0;0;642;12;	1,370;1,547;568;1,757;429;2,806;489;42;223;657;511;	445;536;1,736;1,329;1,206;1,167;184;0;274;875;634;	1	987	438
axelmorin_	897	10.4k	1,631	0	0				1	987	651
daaaammmml	371	7,059	461	0	8	1,811;121;371;121;132;135;81;251;	5,859;2,844;7,059;2,844;816;935;3,843;2,452;	851;276;461;276;398;177;272;432;	30	3,323,508233,777,72958,919250,100,0371,504,45745,585555,599530,223,50024,099,785827,007715,5646,454,11613,351,690296,8448,782,0398,601,06817,770,20729,339,7596,454,118549,3393,619,4274,009,513182,5494,041,3199,507,125317,83148,9312,932,117863,85673,665	264
daaaammmml	371	7,059	461	0	3	263;816;1,143;	6,633;23.3k;8,693;	583;381;307;	30	3,323,514233,777,95058,919250,100,4761,504,45745,584555,600530,223,91124,099,7893,619,4304,009,524182,5504,041,3249,507,129317,83248,9322,932,127863,85773,665	469
daaaammmml	371	7,059	461	0	2	60;1;	1,140;78;	291;146;	30	3,323,516233,778,16758,919250,100,8031,504,46045,584555,602530,224,14524,099,786827,011715,5666,454,12148,9322,932,131863,85973,665	449
daaaammmml	371	7,059	461	0	0				30	3,323,516233,778,37258,920250,101,1361,504,46245,585555,601530,224,42624,099,784827,011715,5666,454,12113,351,749296,850	369
daaaammmml	371	7,059	461	0	5	122;81;161;162;346;	1,674;3,843;5,298;681;14.6k;	172;272;705;303;496;	30	827,011715,5656,454,12313,351,751296,8508,782,0578,601,10217,770,27129,339,8776,454,126549,3433,619,4444,009,537182,5484,041,3309,507,140317,83348,9322,932,140863,86173,666	587
daaaammmml	371	7,059	461	0	17	128;346;211;74;473;473;211;954;346;75;17;560;211;289;473;186;211;	4,425;14.6k;2,035;13k;3,495;3,495;2,035;11.9k;14.6k;15k;2,006;13.4k;2,035;2,738;3,495;41.5k;2,035;	438;496;285;815;367;367;285;4,643;496;630;353;574;285;310;367;7,434;285;	30	3,323,523827,011715,5686,454,12813,351,779296,8508,782,0648,601,11717,770,30729,339,8986,454,125549,3433,619,4514,009,545182,5494,041,3309,507,147317,83448,932	741
daaaammmml	371	7,059	461	0	2	96;263;	2,244;6,633;	751;583;	30	3,323,531233,779,12558,920250,102,2971,504,46845,584555,605530,225,38824,099,803827,012715,5696,454,13513,351,787296,8528,782,0778,601,13017,770,34929,339,9346,454,137549,3463,619,4654,009,553	312
daaaammmml	371	7,059	461	0	19	105;191;262;73;70;365;516;162;9;80;1,470;265;50;809;350;120;245;59;82;	1,045;6,571;10.9k;4,418;115;5,296;54k;682;137;1,964;570;580;511;3,532;2,617;148;10.2k;99;392;	852;2,340;329;568;250;86;547;303;289;15;560;192;436;334;769;290;516;441;779;	30	3,323,538233,779,42758,920250,102,7341,504,47045,584555,605530,225,75724,099,818827,013715,5706,454,13913,351,803296,8528,782,0858,601,13917,770,38229,339,961	427
daaaammmml	371	7,059	461	0	11	81;191;132;291;371;132;132;371;132;371;371;	3,843;4,211;816;9,564;7,059;816;816;7,059;816;7,059;7,059;	272;390;398;501;461;398;398;461;398;461;461;	30	3,323,540233,779,76858,920250,103,3071,504,46845,584555,606530,226,24924,099,822827,014715,5696,454,14013,351,824296,8528,782,0968,601,15717,770,41529,339,9946,454,144549,3443,619,4794,009,571182,5494,041,3539,507,168317,84048,9342,932,162863,87073,666	561
daaaammmml	371	7,059	461	0	4	346;81;334;816;	14.6k;3,843;29.6k;23.3k;	496;272;236;381;	30	3,323,548233,780,05658,920250,103,8111,504,47045,584555,606530,226,71524,099,827827,01617,770,43629,340,0296,454,136549,3453,619,4844,009,577182,5494,041,3629,507,160317,84248,9382,932,167863,87073,666	375
daaaammmml	371	7,059	461	0	5	816;136;394;816;225;	23.3k;4,029;6,924;23.3k;4,661;	381;324;561;381;467;	30	3,323,552233,780,33558,920250,104,1971,504,46945,584555,607549,3463,619,4924,009,582182,5494,041,3619,507,163317,84248,9402,932,171863,87273,666	627
daaaammmml	371	7,059	461	0	10	346;346;346;191;311;124;816;1,837;283;188;	14.6k;14.6k;14.6k;4,211;1,589;3,510;23.3k;20.5k;2,417;1,130;	496;496;496;390;694;164;381;430;352;840;	30	3,323,553233,780,54858,920250,104,5291,504,46845,585555,606530,227,3264,041,3669,507,155317,84248,9422,932,168863,87273,666	379
daaaammmml	371	7,059	461	0	5	365;216;81;311;371;	5,296;6,439;3,843;2,180;7,059;	86;608;272;329;461;	30	3,323,559233,780,80558,920250,105,0071,504,46945,585555,606530,227,86024,099,857827,017715,5796,454,12313,351,935296,85517,770,54329,340,1266,454,124549,3483,619,5104,009,596182,5494,041,3779,507,156317,84448,9442,932,172863,87973,666	424
daaaammmml	371	7,059	461	1	12	346;371;136;263;191;26;816;109;124;81;97;859;	14.6k;7,059;4,029;6,634;4,211;4,699;23.3k;1,821;475;3,843;482;20.6k;	496;461;324;583;390;567;381;525;332;272;195;447;	30	3,323,568233,781,23858,920250,105,5751,504,468182,5504,041,3809,507,161317,84448,9462,932,174863,88073,666	456
daaaammmml	371	7,059	461	1	4	140;311;371;311;	27.3k;2,180;7,059;2,180;	2;329;461;329;	30	3,323,573233,781,50758,920250,105,9861,504,47145,585555,610530,228,83924,099,879827,018715,5866,454,13513,351,99317,770,61029,340,2116,454,136549,3503,619,5224,009,616182,5504,041,3819,507,168317,84448,9502,932,177863,88073,666	560
daaaammmml	371	7,059	461	0	0				30	3,323,576233,781,78158,920250,106,4801,504,475317,84548,9502,932,181863,88173,666	391
daaaammmml	371	7,059	461	1	5	263;311;81;371;81;	6,634;2,180;3,843;7,059;3,843;	583;329;272;461;272;	30	3,323,578233,781,96958,920250,106,7251,504,47745,585555,611530,229,55724,099,883827,017715,5906,454,14113,352,033296,8568,782,1308,601,245	437
daaaammmml	371	7,059	461	0	1				30	3,323,582233,782,17158,920250,107,0781,504,47845,584555,613530,229,84324,099,886827,018715,5956,454,15313,352,045296,8568,782,1408,601,24917,770,66429,340,3026,454,152	599
daaaammmml	371	7,059	461	0	13	394;149;1,853;371;149;371;1,853;371;2,092;371;816;1,029;1,837;	6,923;928;84.9k;7,059;928;7,059;84.9k;7,059;5,811;7,059;23.3k;6,438;20.5k;	561;261;240;461;261;461;240;461;1,068;461;381;1,351;430;	30	296,8568,782,1428,601,25717,770,67729,340,3166,454,154549,3533,619,5414,009,637182,5574,041,3999,507,186317,84548,9512,932,187863,88773,666	509
daaaammmml	371	7,059	461	0	8	612;132;296;988;276;337;371;988;	20.1k;928;805;6,758;1,375;1,445;7,059;6,758;	566;289;640;365;469;382;461;365;	30	3,323,588233,782,59458,920250,107,8871,504,47845,584555,614530,230,48824,099,889827,020715,5966,454,16013,352,087296,8558,782,1498,601,27717,770,70829,340,3666,454,162549,3543,619,5484,009,634182,557	521
daaaammmml	371	7,059	461	0	2	191;81;	4,211;3,843;	390;272;	30	3,323,588233,782,84058,920250,108,3841,504,48045,584555,615530,230,90124,099,897827,024715,5976,454,16613,352,120296,8578,782,1588,601,29617,770,73629,340,4136,454,167	447
daaaammmml	371	7,059	461	0	5	276;208;1,853;191;344;	1,375;5,251;84.9k;4,211;1,766;	469;423;240;390;475;	30	827,025715,5976,454,17213,352,124296,8598,782,1638,601,30417,770,74429,340,4346,454,173549,3563,619,5584,009,640182,5584,041,4159,507,215317,85048,9542,932,200863,89173,667	403
daaaammmml	371	7,059	461	0	2	208;283;	5,251;2,417;	423;352;	30	715,6016,454,18013,352,139296,8588,782,1768,601,31117,770,77629,340,4596,454,182549,3603,619,5614,009,645182,5594,041,4169,507,228317,85348,9552,932,204863,893	441
daaaammmml	371	7,059	461	0	6	1,790;396;371;1,790;67;208;	2,750;1,125;7,059;2,750;123;5,251;	2,355;368;461;2,355;88;423;	30	317,85548,9552,932,208863,89673,667	479
daaaammmml	371	7,059	461	0	19	124;50;152;20;283;394;191;418;49;337;421;226;816;191;465;265;70;235;371;	475;511;2,814;121;2,417;6,923;6,571;11.7k;250;5,216;1,202;4,662;23.3k;4,211;142;580;1,107;1,568;7,059;	332;436;423;366;352;561;2,340;849;317;393;724;467;381;390;144;192;276;374;462;	30	3,323,604233,783,75458,920250,109,9041,504,49145,584555,614530,232,29424,099,924827,027715,6046,454,19513,352,175296,8598,782,1978,601,3514,009,651182,5594,041,4319,507,248317,85448,9542,932,209863,89873,667	625
