user	postsNum	followersNum	followingNum	hasLocation	AtUserNum	AtUserPostsNum	AtUserFollowerNum	AtUserFollowingNum	hashTagNum	hashTagPostsNum	likeNum
elephantjournal	7,049	473k	5,617	0	22	1,306;114;19;9;1,876;164;225;191;196;160;0;6;91;489;24;168;158;77;117;165;2;354;	320;279;259;41;5,438;184;113;72;339;145;7;55;93;594;116;552;593;124;330;438;8;220;	503;342;430;120;594;256;140;79;676;229;65;37;95;3,473;93;1,079;494;243;268;594;26;453;	6	40,6577,4761,35624,0145,035164	5,751
elephantjournal	7,049	473k	5,617	0	5	31;192;20;59;20;	81;75;60;242;60;	125;202;85;603;85;	29	3,3125,804,1121817,1971,969203,5425,619619,4451,020,1304,8698,956320,906103,4772,473191,0553,760,910681,2141,193,7992,679510369,10191,66861,7417,47624,014655,46040,657	2,892
elephantjournal	7,049	473k	5,617	0	20	135;51;1,798;0;624;9;796;1,060;99;27;2,912;61;28;792;700;88;143;16;345;597;	522;380;1,929;537;209;48;287;806;129;165;581;1,113;96;583;289;600;97;415;455;1,106;	959;361;3,188;1,055;275;41;7;1,797;278;144;918;357;522;270;478;530;169;337;496;1,264;	5	10,656,38376,2564,732,4011,181,413432,411	34,621
elephantjournal	7,049	473k	5,617	0	5	137;323;1,257;323;1,257;	296;381;976;381;976;	336;362;2,480;362;2,480;	26	5,0357,95740,65720,226,5411,579,66310,698,482109,29582,046399,5461,432,7001,194,521268,1214,4551,061,19525,329,424	2,087
elephantjournal	7,049	473k	5,617	0	5	182;95;486;1,292;517;	214;244;538;1,287;461;	362;475;344;718;1,580;	6	1,9692,67961,74140,65718,0097,476	2,220
elephantjournal	7,049	473k	5,617	0	14	138;1,429;2,361;20;28;402;8;2,701;2;5;43;2;132;157;	252;269;578;152;166;1,003;7;468;49;2,393;225;553;323;854;	601;265;409;144;279;885;16;612;23;555;371;499;482;350;	0		4,222
elephantjournal	7,049	473k	5,617	0	7	504;300;316;169;1,294;24;152;	1,422;1,927;1,547;344;11.4k;101;156;	981;2,250;813;350;936;143;187;	1	5,804,113	4,244
elephantjournal	7,049	473k	5,617	0	6	1,021;7,666;7,666;483;90;179;	349;49.3k;49.3k;130;502;193;	608;7,457;7,457;363;344;367;	1	3,312	4,537
elephantjournal	7,049	473k	5,617	0	12	5,785;233;174;3;1,213;66;436;1,212;239;66;1,212;33;	3.6m;292;1,144;1;93;586;52;93;70;586;93;113;	541;282;320;1;120;3,004;229;120;297;3,004;120;258;	2	280,0771,181,475	20,764
elephantjournal	7,049	473k	5,617	0	20	215;158;2;4;65;79;704;200;239;1,249;140;150;835;1,235;364;1,309;300;165;2,290;425;	111;589;140;79;128;471;622;204;1,091;390;285;399;172;249;300;8,084;441;302;724;705;	150;485;381;121;750;225;894;187;1,007;463;773;1,042;773;532;585;516;970;458;798;709;	0		4,693
elephantjournal	7,049	473k	5,617	0	2	85;0;	15;645;	57;901;	12	5,0357,95740,6573,12024,01433220,327,5122,109,641278,29610,878,6182,574,318	888
elephantjournal	7,049	473k	5,617	0	7	244;137;26;55;530;175;152;	3,514;290;820;739;944;469;1,597;	803;210;670;611;1,857;637;2,453;	2	5,0351,969	18,878
chrisjacksongetty	3,114	80.8k	1,994	0	3	44;3,114;44;	382;80.8k;382;	44;1,994;44;	0		1,968
chrisjacksongetty	3,114	80.8k	1,994	1	9	4,352;4,352;6,416;3,114;287;854;2,069;3,114;7;	915k;915k;291k;80.8k;147;234;312;80.8k;67;	314;314;913;1,994;441;405;888;1,994;120;	3	1,181,519182,3661,152,473	5,790
