user	postsNum	followersNum	followingNum	AtUserNum	AtUserPostsNum	AtUserFollowerNum	AtUserFollowingNum	likeNum
kimkardashian	4,348	111m	120		26	4,348;4,348;34;107;107;331;331;331;47;47;836;107;1;23;20;27;23;202;96;113;6;113;132;1;1;1;	111m;111m;2,851;4,107;4,107;1,043;1,043;1,044;1,006;1,006;2,799;793;2;119;692;150;619;5,422;6,636;14.6k;148;14.6k;1,324;76;76;76;	120;120;2,628;850;850;720;720;720;490;490;278;780;22;294;327;429;464;666;176;128;19;128;261;459;459;459;1,003,915
kimkardashian	4,348	111m	120		26	4,348;4,348;1;75;47;113;113;211;81;22;188;188;188;188;107;107;126;126;54;15;113;202;113;132;1;1;	111m;111m;154;151;3,257;14.6k;14.6k;667;2,884;696;698;698;698;698;4,107;4,107;789;789;1,282;157;14.6k;5,422;14.6k;1,324;76;76;	120;120;194;101;63;128;128;433;71;459;395;395;395;395;850;850;1,043;1,043;363;916;128;665;128;261;459;459;1,835,758
blacchyna	3,110	14.2m	3,111		35	3,110;3,110;4,880;34,783;0;285;138;10;41;1,482;223;223;9;2,808;252;41;41;1;19;2;9;108;84;9;26;273;34,782;3,110;84;108;52;334;1;18;30;	14.2m;14.2m;1.6m;11.7m;0;375;1,181;131;99;124;2,081;2,081;3,562;4,004;103;110;110;495;227;2,752;224;97;1,207;224;564;221;11.7m;14.2m;1,207;97;444;2,448;423;275;104k;	3,111;3,111;2;2;181;164;322;171;165;428;1,471;1,471;2,159;3,198;313;294;294;297;575;400;374;234;1,263;374;1,178;206;2;3,111;1,263;234;3,496;1,221;218;173;352;12,844
blacchyna	3,110	14.2m	3,111		32	3,110;3,110;37;39;1,289;0;25;0;197;91;7;2;26;510;253;3,110;43;124;0;123;123;47;773;773;47;104;19;152;42;0;1;1;	14.2m;14.2m;344;575;4,179;55;29;55;431k;1,249;620;5;676;1,633;616;14.2m;2,984;327;274;168;168;195;52;52;195;1,623;47;499;3,644;62;49;49;	3,111;3,111;1,950;23;3,083;72;834;72;4,159;56;135;19;0;847;693;3,111;2,307;287;69;1,257;1,257;993;69;69;993;127;267;183;7,063;222;1,024;1,024;196,923
queennaija	94	3.3m	122		34	94;94;101;2,864;1;1;5;1;80;11;378;11;94;0;2;2;2;1;29;6;59;0;378;1;44;94;44;5;7;4;0;835;2,864;20;	3.3m;3.3m;43.4k;178k;246;246;281;246;133;381;1.4m;381;3.3m;0;15k;15k;15k;349;254;1,294;7,083;55;1.4m;119;689;3.3m;689;96;794;299;2,218;512;178k;41;	122;122;309;411;108;108;257;108;378;490;153;490;122;17;2,721;2,721;2,721;702;471;207;3,637;91;153;129;1,665;122;1,665;473;61;966;188;963;411;97;151,699
margo_tovkys	129	365	609		2	129;129;	365;365;	609;609;48
margo_tovkys	129	365	609		2	129;129;	365;365;	609;609;55
taylorswift	148	108m	0		5	148;148;1,167;472;6,406;	108m;108m;8.1m;36.2k;290k;	0;0;372;648;913;1,326,858
lana0.0lana	2,015	1,857	443		2	2,015;2,015;	1,857;1,857;	443;443;16
badgalriri	4,312	62.8m	1,305		31	4,312;4,312;180;1,285;2,545;183;1,262;9;2;3;655;244;1,524;1;1;14;68;399;202;23;1,369;307;138;10;114;2;0;2;2;2;48;	62.8m;62.8m;11.2k;3.8m;731;3,722;3,545;1,823;75;407;6.5m;359;102k;215;215;304;2,418;17;3,497;197;78.1k;393;1,018;12.2k;1,951;145;39;145;41;436;339;	1,305;1,305;202;125;677;211;7,480;1,416;168;25;458;365;7,504;156;156;278;1,325;2;837;224;89;600;64;220;195;220;96;220;146;293;755;239,523
badgalriri	4,312	62.8m	1,305		38	4,312;4,312;404;1,285;185;84;24;434;80;0;103;24;84;99;11;9;80;434;4,312;237;881;41;27;940;0;456;319;1,594;55;92;46;1,594;319;365;378;394;177;379;	62.8m;62.8m;902k;3.8m;495;135;175;246;3,008;176;1,340;175;135;2,966;282;999;3,008;246;62.8m;2,371;1,116;236;295;465;6;1,125;140;293;289;233;308;293;140;157;273;381;45;1,428;	1,305;1,305;144;125;881;232;380;336;2,463;172;667;380;232;2;123;534;2,463;336;1,305;657;1,541;652;502;567;21;2,436;707;746;157;309;726;746;707;392;625;687;163;253;913,223
kyliejenner	5,460	108m	131		27	5,460;5,460;114;28;234;245;2,573;96;525;753;59;59;2;57;15;162;2;753;162;1;1;2;1;96;113;113;1;	108m;108m;1,237;286;2,530;9,057;1.1m;6,636;2,037;670;1,071;1,071;578;3,189;6,578;519;578;670;519;2,200;2,200;578;2,200;6,636;14.6k;14.6k;2,200;	131;131;623;287;21;731;231;176;378;626;710;710;847;464;4,828;707;847;626;707;134;134;847;134;176;128;128;134;3,200,908
kyliejenner	5,460	108m	131		28	5,460;5,460;3,920;19;1;452;15;92;26;2,290;57;19;23;23;23;133;245;57;11;234;563;113;113;562;245;655;0;0;	108m;108m;16m;453;64.1k;4,833;156;2,752;1,747;1,297;3,189;612;879;879;879;1,447;9,057;3,189;1,006;2,530;1,883;14.6k;14.6k;1,883;9,057;6.5m;8;8;	131;131;152;386;376;673;917;355;641;263;464;228;285;287;287;3,536;731;464;584;21;1,013;128;128;1,013;731;458;38;38;5,580,523
ekaterinalevanets	87	697	741		2	87;87;	697;697;	741;741;51
