user	postsNum	followersNum	followingNum	hasLocation	AtUserNum	AtUserPostsNum	AtUserFollowerNum	AtUserFollowingNum	hashTagNum	hashTagPostsNum	likeNum
mandyliu410	57	475	410	0	6	415;272;57;272;13;272;	392;586;475;586;62;586;	393;352;410;352;133;352;	2		59
mandyliu410	57	475	410	0	19	57;14;57;172;9;9;161;272;272;311;57;272;272;57;272;161;311;57;9;	409;47;475;10.9k;175;220;367;586;586;685;475;586;586;475;586;367;685;475;220;	630;154;410;557;260;158;333;352;352;444;410;352;352;410;352;333;444;410;158;	6	242,301130,50723,90055,00832,042,665224,691,860	103
mandyliu410	57	475	410	0	5	311;272;57;272;161;	685;586;475;586;367;	444;352;410;352;333;	5	2,118,63445,204112,561472423,719,882	117
mandyliu410	57	475	410	1	11	272;57;272;449;272;57;57;1;14;57;14;	586;409;586;1,133;586;475;475;165;47;475;47;	352;630;352;291;352;410;410;89;154;410;154;	6	80,4197,381,7748,413,116	99
mandyliu410	57	475	410	0	6	89;476;415;1;9;8;	1,038;526;392;165;175;117;	981;364;393;89;260;119;	5	2,399,3788,413,116	120
mandyliu410	57	475	410	1	4	164;272;154;	679;586;810;	660;352;532;	4	538,5027,454,7494,814,783	75
mandyliu410	57	475	410	1	4	311;89;57;1;	685;1,038;475;165;	444;981;410;89;	4	14,59127,3097,281286,152,813	100
mandyliu410	57	475	410	1	13	80;311;57;311;57;51;86;272;49;91;22;1;	452;685;475;685;475;210;374;586;311;111;63;165;	496;444;410;444;410;212;333;352;261;155;100;89;	5	121,0324,885472,642169,482	120
mandyliu410	57	475	410	1	0				5	42,229,41959,750682,698707,874281,348	109
mandyliu410	57	475	410	1	5	52;272;172;	315;586;10.9k;	247;352;557;	3	8,462,31613,052,11827,745,941	110
mandyliu410	57	475	410	1	1	52;	152;	323;	6	2110,3423011,182,50234,209,0513,563	85
mandyliu410	57	475	410	1	1	272;	586;	352;	5	1,253,95891,53715,567,52243,253,9145,914,020	70
sallysbakeblog	3,589	226k	312	0	10	282;1,042;422;216;119;1,657;618;216;8;801;	438;580;172;329;179;241;283;455;19;279;	428;402;170;491;254;307;448;559;84;351;	9	5,53913,6681,168,476186,62810,474,44734,86132,53930,46340,975	2,632
sallysbakeblog	3,589	226k	312	0	4	940;139;735;230;	177k;656;1,255;203;	903;709;775;647;	4	40,97542,141107,10896,279	3,816
sallysbakeblog	3,589	226k	312	0	12	1,777;225;513;3,589;47;55;1,372;4,077;496;46;12;3,589;	96k;410;380;226k;79;171;3,157;792;393;132;400;226k;	1,311;425;499;312;213;322;879;655;640;250;430;312;	0		3,508
sallysbakeblog	3,589	226k	312	0	5	457;3,589;52;281;3,589;	395;226k;132;240;226k;	364;312;296;379;312;	4	40,97528,31916,53254,562	2,375
sallysbakeblog	3,589	226k	312	0	11	287;867;148;555;456;149;58;1,286;184;530;219;	1,317;221;97;543;502;47;255;994;498;799;233;	970;95;272;620;1,115;732;261;909;802;695;490;	6	5,804,9021,186,17113,1951,168,478354,90040,975	4,193
sallysbakeblog	3,589	226k	312	0	17	890;249;510;169;1,137;27;214;307;221;288;23;53;176;396;96;456;23;	175;256;162;68;162;45;578;239;309;191;316;159;477;255;317;502;316;	358;325;233;82;251;62;555;302;444;284;641;242;531;446;348;1,115;641;	6	5,804,90827,1101,309,532590,834354,90040,975	2,617
sallysbakeblog	3,589	226k	312	0	6	518;518;511;459;116;765;	736;736;639;293;25;667;	587;587;748;409;74;760;	7	5,804,9121,8331,479,381354,900191,546590,83440,975	4,608
sallysbakeblog	3,589	226k	312	0	25	3,772;1,982;173;473;710;1,421;0;10;56;1,085;285;145;188;185;363;1,311;92;41;427;250;448;1,308;13;102;681;	196k;487;1,045;304;1,396;311;8;5;470;681;152;110;433;133;327;1,629;1,423;369;275;87;345;375;32;182;349;	847;1,157;279;256;619;668;2;12;1,583;633;522;278;626;157;260;2,154;1,612;579;250;139;817;439;314;203;381;	9	40,9753,082,81619,859590,834664,74796,78940,975354,90030,463	8,576
sallysbakeblog	3,589	226k	312	0	13	3,589;86;180;447;358;197;3,589;116;33;3,589;3,589;435;2,662;	226k;146;460;764;63;139;226k;114;123;226k;226k;484;219;	312;180;568;771;329;272;312;152;240;312;312;1,658;318;	6	2,6615,804,9137,004,560354,90050,146,7541,168,478	3,528
sallysbakeblog	3,589	226k	312	0	9	398;35;310;3,589;145;152;188;166;41;	8,344;10.4k;1,045;226k;161;148;518;144;83;	754;5,987;689;312;961;180;247;238;169;	7	5,804,91750,146,7581,124354,9001,409,8051,168,47840,975	2,502
sallysbakeblog	3,589	226k	312	0	16	82;225;454;454;268;709;479;28;971;251;2;58;1,185;386;233;71;	1,266;1,196;1,091;1,091;73;535;121;547;4,189;648;21;70;196;174;315;331;	940;571;807;807;600;573;224;666;1,238;946;102;187;638;389;619;568;	8	11,9105,804,91958250,146,767354,9011,640,6842,45640,975	4,579
