user	postsNum	followersNum	followingNum	hasLocation	AtUserNum	AtUserPostsNum	AtUserFollowerNum	AtUserFollowingNum	hashTagNum	hashTagPostsNum	likeNum
beautifulsmoothies	791	14.4k	93	0	1				30	1,889,821;157,845;1,570,461;584,968;6,061,338;4,419,376;9,671,996;12,009,761;47,183,749;61,211,203;1,032,075;18,894,616;3,661,780;123,698,470;7,309,043;657,128;4,440,864;46,825,430;15,659,380;61,220,569;1,849,546;324,802;426,116;2,495,921;14,324,920;344,821;4,792,428;893,791;117,001,157;4,863,844;	316
beautifulsmoothies	791	14.4k	93	0	2				30	1,889,821;157,845;1,570,464;584,968;6,061,340;4,419,380;9,672,007;12,009,765;47,183,791;61,211,248;1,032,076;18,894,633;3,661,786;123,698,651;7,309,045;657,128;4,440,864;46,825,469;15,659,397;61,220,614;1,849,546;324,803;426,116;2,495,926;14,324,923;344,821;4,792,435;893,791;117,001,275;4,863,854;	1,054
beautifulsmoothies	791	14.4k	93	0	1				30	1,889,823;157,846;1,570,467;584,969;6,061,339;4,419,396;9,672,017;12,009,774;47,183,824;61,211,302;1,032,079;18,894,650;3,661,790;123,698,779;7,309,045;657,128;4,440,871;46,825,478;15,659,411;61,220,663;1,849,547;324,805;426,116;2,495,930;14,324,931;344,822;4,792,440;893,791;117,001,370;4,863,860;	2,156
beautifulsmoothies	791	14.4k	93	0	2				30	1,889,826;157,846;1,570,474;584,969;6,061,340;4,419,408;9,672,025;12,009,779;47,183,866;61,211,328;1,032,080;18,894,669;3,661,792;123,698,886;7,309,046;657,128;4,440,872;46,825,481;15,659,422;61,220,687;1,849,547;324,806;426,116;2,495,936;14,324,938;344,822;4,792,451;893,794;117,001,457;	798
beautifulsmoothies	791	14.4k	93	0	5				30	1,570,478;584,969;6,061,343;4,419,423;9,672,032;12,009,788;47,183,892;61,211,362;1,032,084;18,894,690;3,661,796;123,699,026;7,309,052;657,128;4,440,874;46,825,500;15,659,429;61,220,721;1,849,547;324,808;2,495,938;14,324,945;344,822;4,792,455;893,794;117,001,500;4,863,875;	925
beautifulsmoothies	791	14.4k	93	0	2				30	1,889,827;157,846;1,570,480;584,969;6,061,339;4,419,433;9,672,036;12,009,794;47,183,935;61,211,415;1,032,085;18,894,717;3,661,799;123,699,187;7,308,995;657,128;4,440,878;46,825,527;15,659,447;61,220,776;1,849,548;324,810;426,116;2,495,941;14,324,958;344,822;4,792,461;893,796;117,001,593;4,863,884;	1,158
beautifulsmoothies	791	14.4k	93	0	2				30	1,889,827;157,846;1,570,485;584,969;6,061,344;4,419,448;9,672,052;12,009,813;47,183,950;61,211,463;1,032,086;18,894,740;3,661,804;123,699,323;7,308,985;657,130;4,440,884;46,825,528;15,659,463;61,220,824;1,849,550;324,814;426,116;2,495,943;14,324,961;344,822;4,792,466;893,797;117,001,691;4,863,890;	1,410
beautifulsmoothies	791	14.4k	93	0	6				30	1,889,828;157,846;1,570,488;584,970;6,061,345;4,419,459;9,672,069;12,009,824;47,183,974;61,211,490;1,032,087;18,894,755;3,661,807;123,699,430;7,308,987;657,130;4,440,886;46,825,570;15,659,479;61,220,872;1,849,551;324,814;426,116;2,495,943;14,324,971;344,823;4,792,469;893,797;117,001,801;4,863,900;	1,044
beautifulsmoothies	791	14.4k	93	0	1				30	1,889,829;157,846;1,570,489;584,970;6,061,348;4,419,481;9,672,075;12,009,833;47,183,990;61,211,526;1,032,087;18,894,781;3,661,812;123,699,600;7,308,992;657,130;4,440,889;46,825,623;15,659,508;61,220,935;1,849,552;324,814;426,116;2,495,948;14,324,972;344,824;4,792,469;893,800;117,001,942;4,863,909;	1,121
beautifulsmoothies	791	14.4k	93	0	1				30	1,889,831;157,846;1,570,491;584,970;6,061,348;4,419,501;9,672,088;12,009,844;47,184,020;61,211,536;1,032,087;18,894,802;3,661,824;123,699,770;7,308,997;657,130;4,440,894;46,825,672;15,659,522;61,220,980;1,849,554;324,819;426,116;2,495,953;14,324,984;	1,509
beautifulsmoothies	791	14.4k	93	0	1				30	1,889,831;157,846;1,570,498;584,972;6,061,349;4,419,515;9,672,100;12,009,851;47,184,051;61,211,554;1,032,087;18,894,813;3,661,830;123,699,895;7,308,999;657,131;4,440,898;46,825,701;15,659,542;61,221,023;1,849,556;324,821;426,116;2,495,954;14,324,984;344,825;4,792,481;893,801;117,002,128;4,863,923;	879
beautifulsmoothies	791	14.4k	93	0	1				30	1,889,831;157,846;1,570,502;584,975;6,061,350;4,419,525;9,672,111;12,009,860;47,184,068;61,211,585;1,032,090;18,894,816;3,661,834;123,700,038;7,309,005;657,131;4,440,897;46,825,741;15,659,552;61,221,067;1,849,557;324,824;426,116;2,495,957;14,324,992;344,825;4,792,486;893,803;117,002,249;4,863,930;	1,151
